
=== exercises_bank.json === (2085 exercices, 51 notions)
  Notion                                                     n  cat.  répartition
  Chapitre_9::Inéquations                                   40     2  calcul_direct_ou_a_etapes:38, multi_etapes:2
  Chapitre_2::Intervalles                                   40     3  calcul_direct_ou_a_etapes:21, multi_etapes:18, demonstration:3
  Chapitre_6::Equation cartésienne d'une droite             41     3  calcul_direct_ou_a_etapes:36, multi_etapes:5, demonstration:1
  Chapitre_6::Positions relatives de deux droites           40     3  calcul_direct_ou_a_etapes:36, multi_etapes:2, demonstration:2
  Chapitre_6::Vecteur directeur d'une droite                40     3  calcul_direct_ou_a_etapes:37, multi_etapes:2, demonstration:1
  Chapitre_9::Signe d'un produit ou d'un quotient           41     3  calcul_direct_ou_a_etapes:36, multi_etapes:3, demonstration:2
  Chapitre_12::Loi de probabilité                           40     3  calcul_direct_ou_a_etapes:34, demonstration:4, multi_etapes:2
  Chapitre_2::Comparaison                                   40     4  comparaison:33, multi_etapes:15, demonstration:4, contexte_reel:1
  Chapitre_3::Calcul littéral en écriture fractionnaire     40     4  calcul_direct_ou_a_etapes:30, multi_etapes:6, contexte_reel:2, demonstration:2
  Chapitre_3::Distributivité et identités remarquables      40     4  calcul_direct_ou_a_etapes:25, multi_etapes:13, demonstration:6, contexte_reel:3
  Chapitre_3::Résolution d'équation quotient                40     4  calcul_direct_ou_a_etapes:31, contexte_reel:5, multi_etapes:3, inverse_retrouver:1
  Chapitre_4::Géométrie sans repère                         40     4  calcul_direct_ou_a_etapes:25, contexte_reel:9, multi_etapes:7, demonstration:4
  Chapitre_5::Base, repère et coordonnées                   40     4  calcul_direct_ou_a_etapes:32, demonstration:5, multi_etapes:3, contexte_reel:3
  Chapitre_8::Maximum et minimum d'une fonction             40     4  calcul_direct_ou_a_etapes:32, demonstration:4, contexte_reel:3, multi_etapes:2
  Chapitre_9::Positions relatives de courbes de référence   40     4  calcul_direct_ou_a_etapes:17, comparaison:17, demonstration:4, multi_etapes:2
  Chapitre_9::Signe d'une fonction affine                   40     4  calcul_direct_ou_a_etapes:33, inverse_retrouver:4, multi_etapes:3, contexte_reel:1
  Chapitre_10::Evolutions d'une quantité                    41     4  contexte_reel:26, calcul_direct_ou_a_etapes:13, multi_etapes:3, demonstration:3
  Chapitre_10::Evolutions successives et évolutions récip   40     4  contexte_reel:30, calcul_direct_ou_a_etapes:7, demonstration:3, multi_etapes:2
  Chapitre_10::Proportion de proportion                     40     4  calcul_direct_ou_a_etapes:25, contexte_reel:13, multi_etapes:3, demonstration:2
  Chapitre_12::Notion d'évènement                           41     4  calcul_direct_ou_a_etapes:32, demonstration:6, multi_etapes:2, contexte_reel:1
  Chapitre_12::Opérations sur les évènements                40     4  calcul_direct_ou_a_etapes:31, contexte_reel:5, demonstration:3, multi_etapes:1
  Chapitre_1::Racine carrée                                 40     5  calcul_direct_ou_a_etapes:26, multi_etapes:10, demonstration:6, comparaison:3, vrai_faux:2
  Chapitre_3::Résolution d'équation produit nul             40     5  calcul_direct_ou_a_etapes:28, multi_etapes:10, contexte_reel:2, inverse_retrouver:1, interpretation:1
  Chapitre_4::Produit d'un vecteur                          41     5  calcul_direct_ou_a_etapes:28, demonstration:8, multi_etapes:7, comparaison:2, inverse_retrouver:1
  Chapitre_4::Somme et différence de deux vecteurs          40     5  calcul_direct_ou_a_etapes:23, multi_etapes:11, demonstration:10, inverse_retrouver:1, contexte_reel:1
  Chapitre_4::Translations et vecteurs associés             40     5  calcul_direct_ou_a_etapes:20, demonstration:16, multi_etapes:8, interpretation:1, inverse_retrouver:1
  Chapitre_5::Milieu et norme                               40     5  calcul_direct_ou_a_etapes:30, multi_etapes:8, demonstration:3, contexte_reel:2, comparaison:2
  Chapitre_6::Equation réduite d'une droite                 40     5  calcul_direct_ou_a_etapes:36, demonstration:2, multi_etapes:1, contexte_reel:1, interpretation:1
  Chapitre_6::Résolution de systèmes                        41     5  calcul_direct_ou_a_etapes:33, multi_etapes:6, contexte_reel:1, interpretation:1, demonstration:1
  Chapitre_7::Notion de fonction                            40     5  calcul_direct_ou_a_etapes:34, demonstration:3, comparaison:2, contexte_reel:1, multi_etapes:1
  Chapitre_7::Parité                                        40     5  calcul_direct_ou_a_etapes:26, demonstration:10, comparaison:4, multi_etapes:2, interpretation:1
  Chapitre_8::Variations d'une fonction                     40     5  calcul_direct_ou_a_etapes:24, demonstration:8, comparaison:5, multi_etapes:3, contexte_reel:2
  Chapitre_8::Variations des fonctions de référence         40     5  calcul_direct_ou_a_etapes:24, comparaison:10, multi_etapes:3, demonstration:3, contexte_reel:1
  Chapitre_9::Signe d'une fonction                          40     5  calcul_direct_ou_a_etapes:33, demonstration:4, multi_etapes:2, contexte_reel:1, inverse_retrouver:1
  Chapitre_11::Linéarité de la moyenne                      41     5  calcul_direct_ou_a_etapes:27, contexte_reel:7, demonstration:4, multi_etapes:2, erreur_correction:1
  Chapitre_11::Moyenne                                      40     5  calcul_direct_ou_a_etapes:27, demonstration:7, contexte_reel:3, comparaison:2, multi_etapes:1
  Chapitre_12::Echantillon et simulation                    40     5  calcul_direct_ou_a_etapes:26, contexte_reel:8, comparaison:7, demonstration:3, multi_etapes:2
  Chapitre_1::Multiples, diviseurs et nombres premiers      40     6  calcul_direct_ou_a_etapes:19, demonstration:11, multi_etapes:8, comparaison:5, contexte_reel:1, vrai_faux:1
  Chapitre_1::Puissances entières relatives                 40     6  calcul_direct_ou_a_etapes:25, demonstration:6, multi_etapes:5, contexte_reel:3, comparaison:3, vrai_faux:1
  Chapitre_2::Inégalités et inéquations                     40     6  multi_etapes:22, calcul_direct_ou_a_etapes:16, demonstration:4, contexte_reel:3, comparaison:2, inverse_retrouver:1
  Chapitre_5::Condition de colinéarité                      41     6  calcul_direct_ou_a_etapes:27, demonstration:7, multi_etapes:5, inverse_retrouver:2, interpretation:1, choix_methode:1
  Chapitre_6::Coefficient directeur d'une droite            40     6  calcul_direct_ou_a_etapes:32, demonstration:3, multi_etapes:2, contexte_reel:2, interpretation:2, inverse_retrouver:1
  Chapitre_7::Courbe représentative d'une fonction          40     6  calcul_direct_ou_a_etapes:34, comparaison:2, multi_etapes:1, interpretation:1, inverse_retrouver:1, demonstration:1
  Chapitre_7::Exemples de fonctions de référence            40     6  calcul_direct_ou_a_etapes:22, comparaison:8, multi_etapes:5, demonstration:3, contexte_reel:2, interpretation:1
  Chapitre_7::Résolutions graphiques d'équations et d'iné   40     6  calcul_direct_ou_a_etapes:31, interpretation:4, multi_etapes:3, inverse_retrouver:1, contexte_reel:1, comparaison:1
  Chapitre_11::Ecart-type                                   41     6  calcul_direct_ou_a_etapes:33, multi_etapes:3, demonstration:3, comparaison:1, interpretation:1, contexte_reel:1
  Chapitre_1::Ensembles de nombres                          40     7  calcul_direct_ou_a_etapes:19, demonstration:9, multi_etapes:8, comparaison:6, contexte_reel:2, vrai_faux:1, interpretation:1
  Chapitre_2::Valeur absolue d'un nombre réel               76     7  calcul_direct_ou_a_etapes:42, multi_etapes:24, demonstration:10, contexte_reel:3, interpretation:2, vrai_faux:1, erreur_correction:1
  Chapitre_8::Variations des fonctions affines              40     7  calcul_direct_ou_a_etapes:23, comparaison:6, inverse_retrouver:4, multi_etapes:3, contexte_reel:3, demonstration:3, interpretation:1
  Chapitre_11::Quartiles et écart interquartile             40     7  calcul_direct_ou_a_etapes:26, demonstration:5, multi_etapes:3, comparaison:3, erreur_correction:2, contexte_reel:2, interpretation:1
  Chapitre_12::Fluctuation et estimation                    40     7  contexte_reel:22, calcul_direct_ou_a_etapes:14, interpretation:4, demonstration:4, multi_etapes:2, comparaison:2, erreur_correction:1

=== exercises_generated_seconde.json === (198 exercices, 6 notions)
  Notion                                                     n  cat.  répartition
  Chapitre_9::Inéquations                                   36     3  calcul_direct_ou_a_etapes:18, erreur_correction:9, contexte_reel:9
  Chapitre_6::Vecteur directeur d'une droite                28     4  calcul_direct_ou_a_etapes:7, erreur_correction:7, inverse_retrouver:7, contexte_reel:7
  Chapitre_6::Equation réduite d'une droite                 35     4  calcul_direct_ou_a_etapes:21, comparaison:14, choix_methode:7, multi_etapes:7
  Chapitre_9::Signe d'un produit ou d'un quotient           36     4  vrai_faux:9, erreur_correction:9, inverse_retrouver:9, multi_etapes:9
  Chapitre_6::Positions relatives de deux droites           35     5  vrai_faux:7, erreur_correction:7, inverse_retrouver:7, comparaison:7, contexte_reel:7
  Chapitre_6::Equation cartésienne d'une droite             28     5  calcul_direct_ou_a_etapes:14, multi_etapes:14, erreur_correction:7, comparaison:7, choix_methode:7
