student_id,true_level,q1_correct,q1_difficulty,q2_correct,q2_difficulty,q3_correct,q3_difficulty,q4_correct,q4_difficulty,q5_correct,q5_difficulty,q6_correct,q6_difficulty,q7_correct,q7_difficulty,score_easy,score_medium,score_hard,total_score,weighted_score
0,2,1,1,1,1,1,2,1,2,1,2,0,3,1,3,2,3,1,6,11
1,3,1,1,1,1,1,2,1,2,1,2,1,3,1,3,2,3,2,7,14
2,2,1,1,1,1,0,2,1,2,1,2,0,3,0,3,2,2,0,4,6
3,2,1,1,1,1,1,2,1,2,1,2,0,3,0,3,2,3,0,5,8
4,1,0,1,0,1,0,2,0,2,1,2,0,3,0,3,0,1,0,1,2
5,2,1,1,1,1,1,2,0,2,1,2,0,3,0,3,2,2,0,4,6
6,1,0,1,0,1,0,2,0,2,0,2,0,3,0,3,0,0,0,0,0
7,1,1,1,0,1,0,2,0,2,0,2,0,3,0,3,1,0,0,1,1
8,1,1,1,0,1,0,2,0,2,0,2,0,3,0,3,1,0,0,1,1
9,2,1,1,1,1,1,2,1,2,1,2,0,3,0,3,2,3,0,5,8
10,3,1,1,1,1,1,2,1,2,1,2,1,3,1,3,2,3,2,7,14
11,1,0,1,1,1,1,2,0,2,0,2,0,3,0,3,1,1,0,2,3
12,1,1,1,1,1,0,2,0,2,0,2,0,3,0,3,2,0,0,2,2
13,1,1,1,0,1,0,2,0,2,0,2,0,3,0,3,1,0,0,1,1
14,2,1,1,1,1,1,2,0,2,1,2,0,3,0,3,2,2,0,4,6
15,2,1,1,1,1,0,2,0,2,0,2,0,3,1,3,2,0,1,3,5
16,3,1,1,1,1,0,2,1,2,1,2,1,3,1,3,2,2,2,6,12
17,3,1,1,1,1,1,2,1,2,0,2,1,3,1,3,2,2,2,6,12
18,2,1,1,1,1,0,2,0,2,1,2,0,3,0,3,2,1,0,3,4
19,2,1,1,1,1,1,2,0,2,1,2,1,3,0,3,2,2,1,5,9
20,1,0,1,0,1,0,2,0,2,0,2,0,3,0,3,0,0,0,0,0
21,2,0,1,1,1,0,2,1,2,0,2,0,3,0,3,1,1,0,2,3
22,2,1,1,1,1,1,2,1,2,1,2,0,3,1,3,2,3,1,6,11
23,1,0,1,1,1,0,2,1,2,0,2,0,3,0,3,1,1,0,2,3
24,2,1,1,1,1,1,2,0,2,0,2,0,3,0,3,2,1,0,3,4
25,1,1,1,0,1,0,2,1,2,0,2,0,3,0,3,1,1,0,2,3
26,1,0,1,1,1,0,2,1,2,0,2,0,3,0,3,1,1,0,2,3
27,2,1,1,1,1,1,2,1,2,1,2,1,3,0,3,2,3,1,6,11
28,3,1,1,1,1,1,2,1,2,1,2,0,3,1,3,2,3,1,6,11
29,2,1,1,0,1,0,2,0,2,0,2,0,3,0,3,1,0,0,1,1
30,2,1,1,0,1,0,2,1,2,1,2,1,3,1,3,1,2,2,5,11
31,1,0,1,1,1,0,2,0,2,0,2,0,3,0,3,1,0,0,1,1
32,1,0,1,0,1,0,2,0,2,0,2,0,3,0,3,0,0,0,0,0
33,2,1,1,1,1,1,2,1,2,1,2,1,3,1,3,2,3,2,7,14
34,3,1,1,1,1,1,2,1,2,1,2,1,3,0,3,2,3,1,6,11
35,3,1,1,0,1,1,2,1,2,1,2,0,3,0,3,1,3,0,4,7
36,2,1,1,1,1,0,2,1,2,1,2,0,3,0,3,2,2,0,4,6
37,2,1,1,1,1,1,2,0,2,1,2,0,3,0,3,2,2,0,4,6
38,1,0,1,0,1,0,2,0,2,0,2,0,3,0,3,0,0,0,0,0
39,2,0,1,1,1,0,2,1,2,0,2,0,3,0,3,1,1,0,2,3
40,2,0,1,1,1,1,2,0,2,0,2,0,3,0,3,1,1,0,2,3
41,1,1,1,1,1,0,2,0,2,1,2,0,3,0,3,2,1,0,3,4
42,2,1,1,1,1,0,2,0,2,1,2,1,3,0,3,2,1,1,4,7
43,3,1,1,1,1,1,2,1,2,1,2,1,3,1,3,2,3,2,7,14
44,3,1,1,1,1,1,2,1,2,1,2,1,3,1,3,2,3,2,7,14
45,1,1,1,1,1,0,2,0,2,0,2,0,3,0,3,2,0,0,2,2
46,2,1,1,1,1,0,2,1,2,1,2,1,3,0,3,2,2,1,5,9
47,2,1,1,1,1,0,2,1,2,0,2,0,3,0,3,2,1,0,3,4
48,2,1,1,1,1,1,2,0,2,1,2,0,3,0,3,2,2,0,4,6
49,2,1,1,1,1,0,2,0,2,0,2,0,3,0,3,2,0,0,2,2
50,2,1,1,1,1,1,2,0,2,0,2,1,3,0,3,2,1,1,4,7
51,2,1,1,1,1,0,2,1,2,1,2,0,3,0,3,2,2,0,4,6
52,2,1,1,1,1,0,2,0,2,0,2,1,3,0,3,2,0,1,3,5
53,2,1,1,1,1,1,2,0,2,1,2,0,3,0,3,2,2,0,4,6
54,2,1,1,1,1,0,2,1,2,1,2,0,3,0,3,2,2,0,4,6
55,1,1,1,1,1,0,2,0,2,1,2,0,3,0,3,2,1,0,3,4
