{'id': 1786, 'provider': 'local', 'model': 'search_service', 'fallback': 0, 'created_at': '2026-08-23T10:07:02.962704+00:00'}
{'id': 1787, 'provider': 'local', 'model': 'search_service', 'fallback': 0, 'created_at': '2026-08-23T10:07:03.146283+00:00'}
{'id': 1788, 'provider': 'local', 'model': 'search_service', 'fallback': 0, 'created_at': '2026-08-23T10:07:03.440921+00:00'}
{'id': 1789, 'provider': 'local', 'model': 'search_service', 'fallback': 0, 'created_at': '2026-08-23T10:07:03.523281+00:00'}
{'id': 1790, 'provider': 'local', 'model': 'search_service', 'fallback': 0, 'created_at': '2026-08-23T10:07:03.793499+00:00'}
{'id': 1791, 'provider': 'local', 'model': 'search_service', 'fallback': 0, 'created_at': '2026-08-23T10:07:03.877905+00:00'}
{'id': 1792, 'provider': 'local', 'model': 'search_service', 'fallback': 0, 'created_at': '2026-08-23T10:08:21.966989+00:00'}
{'id': 1793, 'provider': 'anthropic', 'model': 'claude-sonnet-5', 'fallback': 0, 'created_at': '2026-08-23T10:08:22.587991+00:00'}
{'id': 1794, 'provider': 'fake', 'model': 'moteur-novamath', 'fallback': 1, 'created_at': '2026-08-23T10:09:57.301565+00:00'}
{'id': 1795, 'provider': 'fake', 'model': 'moteur-novamath', 'fallback': 1, 'created_at': '2026-08-23T10:09:57.478215+00:00'}
{'id': 1796, 'provider': 'fake', 'model': 'moteur-novamath', 'fallback': 1, 'created_at': '2026-08-23T10:09:57.858368+00:00'}
{'id': 1797, 'provider': 'fake', 'model': 'moteur-novamath', 'fallback': 1, 'created_at': '2026-08-23T10:10:20.140513+00:00'}
{'id': 1798, 'provider': 'fake', 'model': 'moteur-novamath', 'fallback': 1, 'created_at': '2026-08-23T10:10:20.290504+00:00'}
{'id': 1799, 'provider': 'fake', 'model': 'moteur-novamath', 'fallback': 1, 'created_at': '2026-08-23T10:10:20.686531+00:00'}
